episode,reward
91840,"[0.02335, -0.02335]"
183680,"[0.0378, -0.0378]"
275520,"[-0.0093, 0.0093]"
367360,"[0.0132, -0.0132]"
459200,"[0.0152, -0.0152]"
551040,"[-0.01765, 0.01765]"
642880,"[-0.00205, 0.00205]"
734720,"[0.02185, -0.02185]"
826560,"[0.0343, -0.0343]"
918400,"[-0.0058, 0.0058]"
